,importance,stddev,p_value,n,p99_high,p99_low
MATS3se,0.0011834828039494205,0.002381258310581646,0.24002614517600296,3,0.01482835699016239,-0.01246139138226355
SaaN,0.0011790191822392455,0.00013864800583493017,0.0022889904705218765,3,0.0019734876308658226,0.00038455073361266855
AXp-1dv,0.0011783784259129886,0.00041250271954613614,0.01925176991896731,3,0.003542064752871316,-0.0011853079010453384
MATS3dv,0.0011590200215300106,0.0014270741134135253,0.14738810825747967,3,0.00933631294493935,-0.007018272901879329
ATS1v,0.0011552843189661284,0.0007996194770446936,0.0647024057254954,3,0.005737192595206518,-0.0034266239572742618
GATS1i,0.0011480189762754038,0.0005690541931401411,0.036520479657034935,3,0.004408762607501855,-0.0021127246549510472
TIC3,0.0011416777229374582,0.0004968754407409171,0.028862343421488898,3,0.003988829098746367,-0.0017054736528714506
SpMax_Dzp,0.0011392289546823993,0.0011427224629089088,0.11317658746068902,3,0.007687155387889429,-0.005408697478524631
MATS3pe,0.0011359141644612751,0.0018890093396907383,0.20349670738878584,3,0.011960147160152318,-0.009688318831229769
CIC1,0.0011303212187814642,0.0013489273450669726,0.14189406472485766,3,0.008859824493579608,-0.00659918205601668
AATS0s,0.0011284939393242748,0.000978793814441363,0.09195909719842386,3,0.006737091038155466,-0.004480103159506916
nG12FARing,0.0011198394711502413,0.0007440331213350044,0.06050544588951342,3,0.005383231764996632,-0.003143552822696149
ATS2p,0.0011120972469611894,0.0007416639783152753,0.06088095785505704,3,0.005361914088581461,-0.003137719594659082
ATS0p,0.0011048858817738205,0.0007345625009030181,0.0605687112707962,3,0.005314010470312647,-0.0031042387067650064
nBondsS,0.0010995648321394287,0.0004345571978592475,0.024160377247678815,3,0.003589625765534913,-0.001390496101256056
SdsN,0.001094588667469476,0.0008593988391965282,0.07906686228394302,3,0.00601903931799542,-0.003829861983056468
C1SP2,0.001086123382409913,0.0024394791091955936,0.2606295393058226,3,0.015064609201001443,-0.012892362436181618
ATSC6p,0.0010853076829164439,0.0008450532980665372,0.07805180301647248,3,0.0059275567919371925,-0.0037569414261043052
